Subfamily,Genus,CODE,HeadW,HeadL,ClypeusL,MandibleL,HindFemurL,ScapeL,WebersL,PronotumW,InterOcularW,EyeL,BodyL,Sculpturing,Pilosity,nSpines,ColourHead,Colour Mesosoma,ColourGaster
Myrmicinae,Apterostigma,ANT-947,0.91,1.07,0.16,0.49,1.78,1.02,1.78,0.67,0.71,0.18,4.96,3,98,0,1,1,1
Myrmicinae,Atta,ANT-278,2.27,1.8,0.43,1.37,4.1,NA,2.83,1.27,1.83,0.37,8.27,1,192,8,22,21,24
Myrmicinae,Ata,ANT-405,1.2,1.29,0.27,0.78,1.56,1.07,1.51,0.71,0.93,0.16,4.91,1,55,7,23,8,23
Dolichoderinae,Azteca,ANT-396,0.51,0.36,0.13,0.27,0.53,0.44,0.78,0.31,0.31,0.13,2.2,1,28,0,1,1,1
Dolichoderinae,Azteca,ANT-1337,0.62,0.62,0.2,0.33,0.91,0.6,0.84,0.62,0.38,0.13,2.44,1,35,0,17,17,20
Myrmicinae,Basiceros,ANT-1242,1,1.2,0.33,0.47,1.1,0.83,1.33,0.73,0.77,0.13,5.23,2,14,0,1,24,24
Myrmicinae,Basiceros,ANT-1259,1.2,1.4,0.47,0.57,1.3,1.1,1.67,0.93,0.83,0.23,6.37,2,29,0,1,1,24
Formicinae,Brachymyrmex,ANT-1144,0.31,0.29,0.16,0.18,0.36,0.29,0.36,0.2,0.24,0.09,1.29,1,8,0,19,19,8
Formicinae,Brachymyrmex,ANT-374,0.33,0.29,0.13,0.16,0.29,0.33,0.38,0.22,0.27,0.07,1.31,1,8,0,8,19,8
Formicinae,Brachymyrmex,ANT-808,0.33,0.36,0.13,0.2,0.33,0.38,0.38,0.24,0.29,0.04,1.38,1,12,0,19,19,8
Formicinae,Brachymyrmex,ANT-1362,0.42,0.44,0.11,0.29,0.44,0.42,0.49,0.29,0.36,0.09,1.98,2,21,0,19,19,8
Formicinae,Brachymyrmex,ANT-1483,0.53,0.47,0.2,0.33,0.49,0.4,0.53,0.33,0.4,0.09,1.93,1,25,0,19,19,8
Formicinae,Brachymyrmex,ANT-1564,0.49,0.51,0.16,0.31,0.4,0.42,0.71,0.33,0.4,0.07,2.07,1,21,0,19,19,19
Myrmicinae,Carebara,ANT-044,0.45,0.45,0.13,0.28,0.35,0.3,0.5,0.28,0.4,0.03,1.6,2,11,2,20,20,19
Myrmicinae,Crematogaster,ANT-765,0.6,0.53,0.2,0.27,0.49,0.38,0.67,0.36,0.51,0.11,2.62,2,8,1,20,17,20
Myrmicinae,Crematogaster,ANT-1516,0.53,0.4,0.16,0.29,0.51,0.53,0.53,0.31,0.4,0.09,2.62,1,8,2,24,23,24
Myrmicinae,Crematogaster,ANT-737,0.78,0.64,0.2,0.33,0.96,0.67,0.84,0.42,0.6,0.16,3.38,1,42,2,24,23,24
Myrmicinae,Crematogaster,ANT-939,0.56,0.36,0.16,0.31,0.6,0.24,0.4,0.31,0.44,0.13,2.33,1,7,2,20,16,20
Myrmicinae,Cyphomyrmex,ANT-1428,0.58,0.56,0.33,0.27,0.67,0.38,0.78,0.38,0.44,0.11,2.42,1.5,0,0,21,20,21
Myrmicinae,Cyphomyrmex,ANT-199,0.82,0.8,0.22,0.49,1.29,0.71,1.13,0.49,0.56,0.18,3.18,2,2,4,1,24,1
Myrmicinae,Cyphomyrmex,ANT-1264,0.69,0.67,0.18,0.36,1.04,0.51,0.98,0.47,0.51,0.13,3.09,3,5,0,1,24,24
Myrmicinae,Cyphomyrmex,ANT-1455,0.8,0.76,0.27,0.49,1.33,0.84,1.18,0.49,0.62,0.16,3.53,2,0,4,21,19,20
Myrmicinae,Cyphomyrmex,ANT-1530,0.6,0.62,0.24,0.31,0.8,0.42,0.84,0.44,0.47,0.11,2.84,2,0,2,22,21,22
Myrmicinae,Cyphomyrmex,ANT-1131,0.64,0.62,0.2,0.31,0.8,0.44,0.87,0.44,0.51,0.09,2.8,2,0,0,22,21,22
Myrmicinae,Cyphomyrmex,ANT-241,0.69,0.67,0.18,0.38,0.98,0.56,1.02,0.49,0.56,0.16,2.91,2,0,6,8,20,8
Ectatomminae,Ectatomma,ANT-026,2.25,1.65,0.75,1.65,4,2.68,4.1,1.6,1.55,0.48,12.8,2,33,0,1,24,24
Ectatomminae,Ectatomma,ANT-1721,2.15,1.75,0.44,1.56,3.9,1.77,3.9,1.43,1.52,0.43,11.9,2,33,0,1,1,24
Ectatomminae,Ectatomma,ANT-934,2.1,1.75,0.5,1.45,4.1,2.76,4.05,1.5,1.45,0.6,12.5,2,31,0,1,1,24
